No,Product_name,Company,Ai
24765,ELITE PLUS 6 OD,ISK BIOSCIENCES EUROPE N.V.,NICOSULFURON 6% [OD] P/V
24771,GIBENINA,GLOBACHEM N.V.,"6-BENZILADENINA 1,9% + GIBERELINAS A4/A7 1,9% [SL] P/V"
24772,RADAR PLUS,SHARDA EUROPE BVBA,"FLUAZIFOP-P-BUTIL 12,5% [EC] P/V"
24774,TANSIL,SHARDA EUROPE BVBA,"TEBUCONAZOL 2,5% [FS] P/V"
24783,ORTOCIL,PRODUCTOS CITROSOL S.A.,2- FENILFENOL 10% [EC] P/V
24786,PILCLYN,"ADAMA AGRICULTURE ESPAÑA, S.A.",TEBUCONAZOL 43% [SC] P/V
24787,INKA,"SYNGENTA ESPAÑA, S.A.",DICAMBA 48% (SAL DIMETILAMINA) [SL] P/V
24789,PROTEUS O-TEQ,"BAYER CROPSCIENCE, S.L.",DELTAMETRIN 2% + TIACLOPRID 15% [OD] P/V
24798,DECANO,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,SULCOTRIONA 30% [SC] P/V
24800,SAJON,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,NICOSULFURON 4% [OD] P/V
24802,OSSIRAME 30 WP,"MANICA, SPA",OXICLORURO DE COBRE 30% (EXPR. EN CU) [WP] P/P
24807,LUQSAZUFRE-80 WG,"UPL IBERIA, S.A.",AZUFRE 80% [WG] P/P
24808,OSSIRAME 50 WP,MANICA COBRE S.L.,OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
24809,RALON SUPER,"BAYER CROPSCIENCE, S.L.","FENOXAPROP-P-ETIL 6,9% [EW] P/V"
24812,QUICK 5 EC,SHARDA EUROPE BVBA,QUIZALOFOP-P-ETIL 5% [EC] P/V
24814,SONG,"SIPCAM INAGRA, S.A.",TEBUCONAZOL 25% [EC] P/V
24816,AZAR,"SIPCAM INAGRA, S.A.","Azadiractin 2,6% (COMO AZADIRACTIN A) [EC] P/V"
24819,IMIDOR,"NUFARM ESPAÑA, S.A.",IMIDACLOPRID 20% [SL] P/V
24825,REGULEX 10 SG,"KENOGARD, S.A.",GIBERELINAS A4/A7 10% [SG] P/P
24826,TRIUMPH,"KENOGARD, S.A.",GIBERELINAS A4/A7 10% [SG] P/P
24845,BELTHIRUL-S,PROBELTE S.A.U.,"AZUFRE 60% + BACILLUS THURINGIENSIS KURSTAKI 1,43% (1X10E6 UI/G) [DP] P/P"
24846,MOJAN-T 20,"BRANDT EUROPE, S.L.",DODECILBENCENO SULFONATO AMONICO (DDSA) 20% [SL] P/V
24850,TEBUSHA,SHARDA EUROPE BVBA,TEBUCONAZOL 25% [EW] P/V
24852,WISMAR SC,"UPL IBERIA, S.A.",METAMITRONA 70% [SC] P/V
24855,TYLLANEX MAGNUM,"SYNGENTA ESPAÑA, S.A.","S-METOLACLORO 31,25% + TERBUTILAZINA 18,75% [SE] P/V"
24864,FLOWBRIX,MONTANWERKE BRIXLEGG AG,OXICLORURO DE COBRE 38% (EXPR. EN CU) [SC] P/V
24865,TAMIFUME EXTRA,TAMINCO BVBA,"METAM POTASIO 66,7% (ANHIDRO) [SL] P/V"
24867,LAITRI,SHARDA EUROPE BVBA,"MICLOBUTANIL 12,5% [EC] P/V"
24868,ABION E,ABION (EURO),"PARAFINA 34,63% [EW] P/V"
24874,XEDAMATE 60,"NUTEA, S.L.","CLORPROFAM 62,3% [HN] P/V"
24878,FAZILO,"COMPO IBERIA, S.L.","ABAMECTINA 0,0015% + PIRETRINAS 0,02% [AL] P/V"
24880,CORE,SHARDA EUROPE BVBA,DIFENOCONAZOL 25% [EC] P/V
24883,"FORCE 1,5 G","SYNGENTA ESPAÑA, S.A.","TEFLUTRIN 1,5% [GR] P/P"
24887,NICOPERTS,"ADAMA AGRICULTURE ESPAÑA, S.A.",NICOSULFURON 4% [SC] P/V
24893,"RIDOMIL GOLD MZ 67,9 PEPITE","SYNGENTA ESPAÑA, S.A.","MANCOZEB 64% + METALAXIL-M 3,9% [WG] P/P"
24895,DUNKO,"ADAMA AGRICULTURE ESPAÑA, S.A.",METAZACLORO 50% [SC] P/V
24898,SULCOTRINA,"TRADE CORPORATION INTERNATIONAL, S.A.U.",SULCOTRIONA 30% [SC] P/V
24899,NICOZEA,"TRADE CORPORATION INTERNATIONAL, S.A.U.",NICOSULFURON 4% [OD] P/V
24901,EQUATION CONTACT DP,"DU PONT IBERICA, S.L.","FAMOXADONA 6,25% + MANCOZEB 62,5% [WG] P/P"
24907,KLAXON,"ARYSTA LIFESCIENCE, S.A.S.",CLETODIM 24% [EC] P/V
24909,QUARK,"KENOGARD, S.A.","BACILLUS THURINGIENSIS AIZAWAI (CEPA ABTS-1857, 540 g/kg) 54% (15 millones de CLU/g) [WG] P/P"
24910,CHEETAH LS,"BAYER CROPSCIENCE, S.L.","FENOXAPROP-P-ETIL 6,9% [EW] P/V"
24915,CHAMAN,"FMC Agricultural Solutions, S.A.U.",NICOSULFURON 4% [SC] P/V
24916,HECATE PM,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
24921,HUMECTAN PLUS,ARYSTA LIFESCIENCE BENELUX Sprl.,ALQUIL POLIGLICOL 20% (ETER) [SL] P/V
24922,GIBB PLUS,GLOBACHEM N.V.,GIBERELINAS A4/A7 1% [SL] P/V
24926,DINAPIC,"INDUSTRIAS AFRASA, S.A.",FOSETIL-AL 80% [WG] P/P
24928,LAMDEX 2.5 WG,"ADAMA AGRICULTURE ESPAÑA, S.A.","LAMBDA CIHALOTRIN 2,5% [WG] P/P"
24930,DROXI,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",HIDROXIDO CUPRICO 50% (EXPR. EN CU) [WP] P/P
24934,IMPALA,"DOW AGROSCIENCES IBERICA, S.A.",FENBUCONAZOL 5% [EW] P/V
24935,CURZATE 60 WG,"DU PONT IBERICA, S.L.",CIMOXANILO 60% [WG] P/P
24937,CERA-TRAP,"BIOIBERICA, S.A.U.","PROTEINAS HIDROLIZADAS 5,9% [SL] P/V"
24942,KENDO,"SYNGENTA ESPAÑA, S.A.",LAMBDA CIHALOTRIN 10% [CS] P/V
24943,MICROTHIOL SPECIAL LIQUIDO,"UPL IBERIA, S.A.","AZUFRE 82,5% [SC] P/V"
24945,DUAL GOLD 96 EC,"SYNGENTA ESPAÑA, S.A.",S-METOLACLORO 96% [EC] P/V
24949,AIRONE,ISAGRO S.P.A.,"HIDROXIDO CUPRICO 13,6% (EXPR. EN CU) + OXICLORURO DE COBRE 13,6% (EXPR. EN CU) [SC] P/V"
24950,AIRONE SC BLUE,ISAGRO S.P.A.,"HIDROXIDO CUPRICO 13,6% (EXPR. EN CU) + OXICLORURO DE COBRE 13,6% (EXPR. EN CU) [SC] P/V"
24951,GRIFON,ISAGRO ESPAÑA S.L.,"HIDROXIDO CUPRICO 13,6% (EXPR. EN CU) + OXICLORURO DE COBRE 13,6% (EXPR. EN CU) [SC] P/V"
24954,GENOXONE ZX,ARYSTA LIFESCIENCE BENELUX Sprl.,"2,4-D ACIDO 9,3% (ESTER 2-ETILHEXIL) + TRICLOPIR 10,36% (ESTER BUTOXIETÍLICO) [EC] P/V"
24957,FLOWBRIX BLU,MONTANWERKE BRIXLEGG AG,OXICLORURO DE COBRE 38% (EXPR. EN CU) [SC] P/V
24969,MEDER 20,"ENDER IBERICA, S.L.",ALQUIL POLIGLICOL 20% (ETER) [SL] P/V
24977,DAZIDE ENHANCE,FINE AGROCHEMICALS LTD.,DAMINOZIDA 85% [SG] P/P
24978,CAL-EX AVANCE EW,"FMC Agricultural Solutions, S.A.U.","ABAMECTINA 1,8% [EW] P/V"
24989,STADIO F,ISAGRO S.P.A.,"BENALAXIL-M 3,75% + FOLPET 48% [WG] P/P"
24991,ZOLVIS 80% WG,NEDROM IBERICA S.L.,AZUFRE 80% [WG] P/P
24998,FENOVA SUPER,"FMC Agricultural Solutions, S.A.U.","FENOXAPROP-P-ETIL 6,9% [EW] P/V"
25004,MOHICAN ENERGY,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,DIFLUFENICAN 4% + GLIFOSATO 16% (SAL ISOPROPILAMINA) [SC] P/V
25006,"FUSILADE MAX 12,5 EC","NUFARM ESPAÑA, S.A.","FLUAZIFOP-P-BUTIL 12,5% [EC] P/V"
25009,FOLIO GOLD,"SYNGENTA ESPAÑA, S.A.","CLORTALONIL 50% + METALAXIL-M 3,63% [SC] P/V"
25011,TOPAS,"SYNGENTA ESPAÑA, S.A.",PENCONAZOL 20% [EW] P/V
25016,DYNAMEC,"SYNGENTA ESPAÑA, S.A.","ABAMECTINA 1,8% [EW] P/V"
25023,KARATHANE STAR,"DOW AGROSCIENCES IBERICA, S.A.",MEPTILDINOCAP 35% [EC] P/V
25024,INSEGAR 25 WG,"SYNGENTA ESPAÑA, S.A.",FENOXICARB 25% [WG] P/P
25027,GERIONES 250,SHARDA EUROPE BVBA,TEBUCONAZOL 25% [EW] P/V
25030,BETTIX FLO,"UPL IBERIA, S.A.",METAMITRONA 70% [SC] P/V
25034,ZAFIRO,"SIPCAM INAGRA, S.A.","Azadiractin 2,6% (COMO AZADIRACTIN A) [EC] P/V"
25035,AZAFIT,"SIPCAM INAGRA, S.A.","Azadiractin 2,6% (COMO AZADIRACTIN A) [EC] P/V"
25038,TRAPÍO,"TRADE CORPORATION INTERNATIONAL, S.A.U.",DIFLUFENICAN 4% + GLIFOSATO 16% (SAL ISOPROPILAMINA) [SC] P/V
25042,BIOMAX,"KENOGARD, S.A.",BACILLUS THURINGIENSIS KURSTAKI (CEPA ABTS-351) 54[WG] P/P
25044,SANAGRICOLA WG,ISAGRO ESPAÑA S.L.,"OXICLORURO DE COBRE 37,5% (EXPR. EN CU ) [WG] P/P"
25046,BORDEAUX ISAGRO WG,ISAGRO S.P.A.,SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WG] P/P
25050,SULTAN N,"ADAMA AGRICULTURE ESPAÑA, S.A.",METAZACLORO 50% [SC] P/V
25053,TOMCAT MAIZ SC,"NUFARM ESPAÑA, S.A.",NICOSULFURON 4% [SC] P/V
25055,THIOPRON 825,"UPL IBERIA, S.A.","AZUFRE 82,5% [SC] P/V"
25056,DIPOL,SHARDA EUROPE BVBA,"FLUAZIFOP-P-BUTIL 12,5% [EC] P/V"
25069,EQUATION PRO DP,"DU PONT IBERICA, S.L.","CIMOXANILO 30% + FAMOXADONA 22,5% [WG] P/P"
25070,ENOVIT METIL 50 SC,"SIPCAM INAGRA, S.A.",METIL TIOFANATO 50% [SC] P/V
25076,CRATOS,"FMC Agricultural Solutions, S.A.U.","FENOXAPROP-P-ETIL 6,9% [EW] P/V"
25080,NICOVITA,"NUFARM ESPAÑA, S.A.",NICOSULFURON 4% [SC] P/V
25083,EXPLICIT 30 WG,"FMC Agricultural Solutions, S.A.U.",INDOXACARB 30% [WG] P/P
25092,TRINEO 25 WG,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,TEBUCONAZOL 25% [WG] P/P
25094,SERENADE AS,"BAYER CROPSCIENCE, S.L.","BACILLUS SUBTILIS 1,37% (1,7 X 10E10 CFU/G) [SC] P/V"
25095,MITISAN,"NUFARM ESPAÑA, S.A.","BETACIFLUTRIN 2,5% [SC] P/V"
25096,QUICKPHOS PELLETS,"UPL IBERIA, S.A.","FOSFURO DE ALUMINIO 56% (0,6 G/TABLETA) [GE] P/P"
25098,GRANSTAR SUPER 50 SX,"FMC Agricultural Solutions, S.A.U.",TIFENSULFURON-METIL 25% + TRIBENURON-METIL 25% [SG] P/P
25100,DECIS,"BAYER CROPSCIENCE, S.L.","DELTAMETRIN 2,5% [EC] P/V"
25101,COURAZE 70 WG,"FMC Agricultural Solutions, S.A.U.",IMIDACLOPRID 70% [WG] P/P
25110,SPARTA WG,"FMC Agricultural Solutions, S.A.U.",TEBUCONAZOL 25% [WG] P/P
25113,FLUAZIBEL,SHARDA EUROPE BVBA,"FLUAZIFOP-P-BUTIL 12,5% [EC] P/V"
25114,DORYOKU,"KENOGARD, S.A.",ETOXAZOL 11% [SC] P/V
25115,PERMIT,"KENOGARD, S.A.",HALOSULFURON-METIL 75% [WG] P/P
25116,INTENSITY,"DOW AGROSCIENCES IBERICA, S.A.",AMINOPIRALID 30% (SAL POTÁSICA) + FLORASULAM 15% [WG] P/P
25118,QUADRIS 25 SC,"SYNGENTA ESPAÑA, S.A.",AZOXISTROBIN 25% [SC] P/V
25122,ZARCO,SHARDA EUROPE BVBA,TEBUCONAZOL 25% [EW] P/V
25125,KEYGIB,GLOBACHEM N.V.,GIBERELINAS A4/A7 1% [SL] P/V
25129,MYSTIC 25 WG,"NUFARM ESPAÑA, S.A.",TEBUCONAZOL 25% [WG] P/P
25139,STARPRO 250 EW,ROTAM AGROCHEMICAL EUROPE LIMITED,TEBUCONAZOL 25% [EW] P/V
25141,TENSIVE,"SPACHEM, S.L.",ALQUIL POLIGLICOL 20% (ETER) [SL] P/V
25143,KARATE ZEON + 1.5 CS,"SYNGENTA ESPAÑA, S.A.","LAMBDA CIHALOTRIN 1,5% [CS] P/V"
25146,MONCUT SC,"COMERCIAL QUÍMICA MASSÓ, S.A.",Flutolanil 46% [SC] P/V
25148,BROMOGAN,"NUFARM ESPAÑA, S.A.","BROMOXINIL 22,5% (ESTER OCTANÓICO) [EC] P/V"
25150,PREGRESS WG,"NUFARM ESPAÑA, S.A.",TEBUCONAZOL 25% [WG] P/P
25152,POLTIGLIA 20 WG,"MANICA, SPA",SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WG] P/P
25153,OSSICLOR 35 WG,"MANICA, SPA",OXICLORURO DE COBRE 35% (EXPR. EN CU ) [WG] P/P
25156,CUPERGREEN FLOW 70,LABORATORIOS ECONATUR S.L.,OXICLORURO DE COBRE 70% (EXPR. EN CU) [SC] P/V
25157,CURENOX 38 FLOW BLUE,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 38% (EXPR. EN CU) [SC] P/V
25158,IQV OXICLORURO 50 AZUL,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
25162,MICRORAM 35 WG,MANICA COBRE S.L.,OXICLORURO DE COBRE 35% (EXPR. EN CU ) [WG] P/P
25163,CALDO MANICA 20 WG,MANICA COBRE S.L.,SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WG] P/P
25164,LONDAX,"UPL IBERIA, S.A.",BENSULFURON-METIL 60% [WG] P/P
25175,CHECKMATE PTB-XL,"SUTERRA EUROPE BIOCONTROL, S.L.","5-DECEN-1-IL-ACETATO 8,34% + 5-DECEN-1-OL 1,73% [VP] P/P"
25186,REVUS,"SYNGENTA ESPAÑA, S.A.",MANDIPROPAMID 25% [SC] P/V
25199,FRUITAMAR-L,PROPLAN-PLANT PROTECTION CO. S.L.,"ANA 0,45% + ANA AMIDA 1,2% [SL] P/V"
25201,DUAXO FUNGICIDA POLIVALENTE,"COMPO IBERIA, S.L.","DIFENOCONAZOL 0,0167% [AL] P/V"
25202,DUAXO FUNGICIDA POLIVALENTE CONCENTRADO,"COMPO IBERIA, S.L.","DIFENOCONAZOL 1,67% [EC] P/V"
25210,ECODIAN ANARSIA,ISAGRO ESPAÑA S.L.,"5-DECEN-1-IL-ACETATO 0,660% + 5-DECEN-1-OL 0,113% [VP] P/P"
25213,COBRE IQV SC,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 70% [SC] P/V
25214,PROFILER,"BAYER CROPSCIENCE, S.L.","FLUOPICOLIDA 4,44% + FOSETIL-AL 66,67% [WG] P/P"
25221,CALYPSO 180 O-TEQ,"BAYER CROPSCIENCE, S.L.",TIACLOPRID 18% [OD] P/V
25225,BROADWAY STAR,"DOW AGROSCIENCES IBERICA, S.A.","FLORASULAM 1,42% + PIROXSULAM 7,08% [WG] P/P"
25233,CALYPSO O-TEQ,"BAYER CROPSCIENCE, S.L.",TIACLOPRID 18% [OD] P/V
25234,BIOTEN,ISAGRO ESPAÑA S.L.,TRICHODERMA ASPERELLUM (CEPA ICC012) 2% (5 X 10 E7 UFC/G) + TRICHODERMA GAMSII (CEPA ICC080) 2% (5 X 10 E7 UFC/G) [WP] P/P
25235,STADIO M,ISAGRO S.P.A.,MANCOZEB 65% + BENALAXIL-M 4% [WP] P/P
25239,JUVINAL 10 EW,"KENOGARD, S.A.",PIRIPROXIFEN 10% [EW] P/V
25243,HEROCUPER 38 AZUL,HEROGRA ESPECIALES SL,OXICLORURO DE COBRE 38% (EXPR. EN CU) [SC] P/V
25244,DINALEM COBRE 380,HEROGRA ESPECIALES SL,OXICLORURO DE COBRE 38% (EXPR. EN CU) [SC] P/V
25246,NEOZIL 50 EC,"LABORATORIOS AGROCHEM, S.L.",IMAZALIL 50% [EC] P/V
25251,MANIFLOW,"MANICA, SPA","SULFATO CUPROCALCICO 12,4% (EXPR. EN CU) [SC] P/V"
25252,"POLTIGLIA FLOW 38,5",MANICA COBRE S.L.,"SULFATO CUPROCALCICO 12,4% (EXPR. EN CU) [SC] P/V"
25256,LAINCOIL FI,"LAINCO, S.A.",ACEITE DE PARAFINA 79% [EC] P/V
25257,BIOSCROP BT 32,PROBELTE S.A.U.,BACILLUS THURINGIENSIS KURSTAKI (CEPA PB-54) 32% (32 MILL. DE U.I./G) [WP] P/P
25258,BIOSCROP BT 16,PROBELTE S.A.U.,BACILLUS THURINGIENSIS KURSTAKI 16% (16 MILL. DE U.I./G) [WP] P/P
25269,HIDRO 40 WG,"ALINTRA, S.A.",HIDROXIDO CUPRICO 40% (EXPR. EN CU) [WG] P/P
25272,COPÉRNICO 25 WG HIBIO,ALBAUGH UK LTD.,HIDROXIDO CUPRICO 25% (EXPR. EN CU) [WG] P/P
25273,REMEDIER,ISAGRO S.P.A.,TRICHODERMA ASPERELLUM (CEPA ICC012) 2% (5 X 10 E7 UFC/G) + TRICHODERMA GAMSII (CEPA ICC080) 2% (5 X 10 E7 UFC/G) [WP] P/P
25276,COPIST X,ALBAUGH UK LTD.,OXICLORURO DE COBRE 25% (EXPR. EN CU) [WG] P/P
25277,COPIST H,ALBAUGH UK LTD.,HIDROXIDO CUPRICO 20% (EXPR. EN CU) [WG] P/P
25278,DRYCOP EVO 35 WG,ALBAUGH UK LTD.,OXICLORURO DE COBRE 35% (exp. en Cu) [WG] P/P
25286,CHARDEX,"DOW AGROSCIENCES IBERICA, S.A.","MCPA 35% (SAL AMINA) + CLOPIRALIDA 3,5% (SAL AMINA) [SL] P/V"
25287,RAXIL PLUS,"BAYER CROPSCIENCE, S.L.",PROTIOCONAZOL 25% + TEBUCONAZOL 15% [FS] P/V
25290,CERALL,KOPPERT B.V.,"PSEUDOMONAS CHLORORAPHIS 20,4% (5 X 10 E9 UFC/ML) [FS] P/V"
25292,VALIS F,"BELCHIM CROP PROTECTION ESPAÑA, S.A.",FOLPET 48% + VALIFENALATO 6% [WG] P/P
25293,JAVA F,"BELCHIM CROP PROTECTION ESPAÑA, S.A.",FOLPET 48% + VALIFENALATO 6% [WG] P/P
25294,EMENDO F,"BELCHIM CROP PROTECTION ESPAÑA, S.A.",FOLPET 48% + VALIFENALATO 6% [WG] P/P
25295,SPYRALE EC,"ADAMA AGRICULTURE ESPAÑA, S.A.","DIFENOCONAZOL 10% + FENPROPIDIN 37,5% [EC] P/V"
25296,ALTACOR 35 WG,"FMC Agricultural Solutions, S.A.U.",CLORANTRANILIPROL 35% [WG] P/P
25297,KENPYR,BIAGRO S.L.,Piretrinas 2% (EXTR. DE PELITRE) [EC] P/V
25298,MOVENTO 150 O-TEQ,"BAYER CROPSCIENCE, S.L.",SPIROTETRAMAT 15% [OD] P/V
25302,NEOZIL 10 SL,"LABORATORIOS AGROCHEM, S.L.",IMAZALIL 10% (SAL DE HIDROGENSULFATO) [SL] P/V
25304,FOLICUR WG,"BAYER CROPSCIENCE, S.L.",TEBUCONAZOL 25% [WG] P/P
25305,TENOR,"BAYER CROPSCIENCE, S.L.",TEBUCONAZOL 25% [EW] P/V
25307,PROGIBB 40 SG,"KENOGARD, S.A.",ACIDO GIBERELICO 40% [SG] P/P
25313,BELTHIRUL 16 SC,PROBELTE S.A.U.,"BACILLUS THURINGIENSIS KURSTAKI 9,74% (16x106 U.I./G) [SC] P/V"
25314,LEPIBACK,PROBELTE S.A.U.,BACILLUS THURINGIENSIS KURSTAKI 16% (16 MILL. DE U.I./G) [WP] P/P
25316,PERGADO F,"SYNGENTA ESPAÑA, S.A.",FOLPET 40% + MANDIPROPAMID 5% [WG] P/P
25317,KELVIN,"DU PONT IBERICA, S.L.",NICOSULFURON 4% [SC] P/V
25324,NICOSULFURON 4% OD,SHARDA EUROPE BVBA,NICOSULFURON 4% [OD] P/V
25327,NOVICURE,"UPL IBERIA, S.A.",SULFATO TRIBASICO DE COBRE 40% (EXPR. EN CU) [WG] P/P
25328,FLINT MAX,"BAYER CROPSCIENCE, S.L.",TEBUCONAZOL 50% + TRIFLOXISTROBIN 25% [WG] P/P
25330,ARMETIL 25 WP,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",METALAXIL 25% [WP] P/P
25332,CANIGO,"KENOGARD, S.A.","BACILLUS THURINGIENSIS AIZAWAI (CEPA ABTS-1857, 540 g/kg) 54% (15 millones de CLU/g) [WG] P/P"
25334,CORAGEN 20 SC,"FMC Agricultural Solutions, S.A.U.",CLORANTRANILIPROL 20% [SC] P/V
25336,BELTHIRUL-F,PROBELTE S.A.U.,"BACILLUS THURINGIENSIS KURSTAKI 17,6% (17,6 MILL. DE U.I./G) [SC] P/V"
25338,ADMIRAL 10 EW,"KENOGARD, S.A.",PIRIPROXIFEN 10% [EW] P/V
25342,ESMALK,"KENOGARD, S.A.",BACILLUS THURINGIENSIS KURSTAKI (CEPA ABTS-351) 54[WG] P/P
25344,MUSKETEER,"BAYER CROPSCIENCE, S.L.",DIFLUFENICAN 15% + IODOSULFURON-METIL-SODIO 1% [OD] P/V
25345,HUSSAR PRO N,"BAYER CROPSCIENCE, S.L.",DIFLUFENICAN 15% + IODOSULFURON-METIL-SODIO 1% [OD] P/V
25346,KANEMITE,"COMERCIAL QUÍMICA MASSÓ, S.A.","ACEQUINOCIL 16,4% [SC] P/V"
25347,PUMA GOLD,"BAYER CROPSCIENCE, S.L.","FENOXAPROP-P-ETIL 6,4% + IODOSULFURON-METIL-SODIO 0,8% [EC] P/V"
25350,PLATINUM FLOW,"SPACHEM, S.L.",OXICLORURO DE COBRE 70% [SC] P/V
25351,VOLARE,"BAYER CROPSCIENCE, S.L.","PROPAMOCARB 52,5% (CLORHIDRATO ) + FLUOPICOLIDA 6,25% [SC] P/V"
25353,AFFIRM,"SYNGENTA ESPAÑA, S.A.","EMAMECTINA 0,855% [SG] P/P"
25355,FRUITGARD-OPP,FOMESA FRUITECH S.L.,2- FENILFENOL 10% [EC] P/V
25357,LAMDEX EXTRA N,"ADAMA AGRICULTURE ESPAÑA, S.A.","LAMBDA CIHALOTRIN 2,5% [WG] P/P"
25358,SPADE FLEXX,"BAYER CROPSCIENCE, S.L.",ISOXAFLUTOL 24% [SC] P/V
25360,DINAMITE,CERTIS EUROPE B.V. Sucursal en España,"ACEQUINOCIL 16,4% [SC] P/V"
25361,BERELEX 40 SG,"KENOGARD, S.A.",ACIDO GIBERELICO 40% [SG] P/P
25362,LEIMAY,"KENOGARD, S.A.",AMISULBROM 20% [SC] P/V
25363,TALISMA UL,ARYSTA LIFESCIENCE BENELUX Sprl.,"CIPERMETRIN 0,005% [AL] P/V"
25364,NEMATHORIN 150 EC,ISK BIOSCIENCES EUROPE N.V.,FOSTIAZATO 15% [EC] P/V
25365,TEYCER C 2I+5T,"TECNIDEX FRUIT PROTECTION, S.A.U.","IMAZALIL 0,2% + Tiabendazol 0,5% [EW] P/V"
25366,BIOSELIBATE CS,"SUTERRA EUROPE BIOCONTROL, S.L.","Z-11-HEXADECENAL 8,33% (209,2 MG/DIFUSOR) + Z-9-HEXADECENAL 0,82% (20,4 MG/DIFUSOR) + Z-13-OCTADECENAL 0,82% (20,4 MG/DIFUSOR) [VP] P/P"
25381,CYTHRIN MAX,ARYSTA LIFESCIENCE BENELUX Sprl.,CIPERMETRIN 50% [EC] P/V
25386,CYTHRIN GARDEN,ARYSTA LIFESCIENCE BENELUX Sprl.,CIPERMETRIN 1% [ME] P/V
25389,ISOMATE OFM ROSSO FLEX,CBC (EUROPE) S.R.L.,"(Z/E)-8 DODECENIL ACETATO 90,93% + Z-8-DODECEN-1-OL 0,67% (240 MG COMO MEZCLA DE AMBAS S.A./DIFUSOR) [VP] P/P"
25390,ISONET ATT,CBC IBERIA S.A.U.,"5-DECEN-1-IL-ACETATO 67,55% + 5-DECEN-1-OL 2,91% (134 MG/DIFUSOR) [VP] P/P"
25392,PRIMO MAXX,"SYNGENTA ESPAÑA, S.A.","TRINEXAPAC-ETIL 12,1% [SL] P/V"
25393,GAZEL PLUS SG,NISSO CHEMICAL EUROPE GMBH,ACETAMIPRID 20% [SG] P/P
25394,AMPEXIO C,"SYNGENTA ESPAÑA, S.A.","OXICLORURO DE COBRE 13,95% (EXPR. EN CU) + MANDIPROPAMID 2,5% [WG] P/P"
25395,HERBENURON,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,TRIBENURON-METIL 75% [WG] P/P
25397,MANFIL 75 WG,INDOFIL INDUSTRIES LIMITED (ITALIA),MANCOZEB 75% [WG] P/P
25398,MANFIL 80 WP,INDOFIL INDUSTRIES LIMITED (ITALIA),MANCOZEB 80% [WP] P/P
25399,EPIK 20 SG,"SIPCAM INAGRA, S.A.",ACETAMIPRID 20% [SG] P/P
25400,HURLER 200,"BARCLAY CHEMICALS MANUFACTURING, LTD.",FLUROXIPIR 20% (ESTER METILHEPTIL) [EC] P/V
25401,BOOM EFEKT,ALBAUGH TKI D.O.O.,GLIFOSATO 36% (SAL ISOPROPILAMINA) [SL] P/V
25402,PROFUME,DOUGLAS BLG BVBA,"FLUORURO DE SULFURILO 99,8% [GA] P/P"
25405,VALDOR FLEX,"BAYER CROPSCIENCE, S.L.",DIFLUFENICAN 36% + IODOSULFURON-METIL-SODIO 1% [WG] P/P
25406,TARANIS 48 SL,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,BENTAZONA 48% (SAL SÓDICA) [SL] P/V
25407,AMISTAR TOP,"SYNGENTA ESPAÑA, S.A.","AZOXISTROBIN 20% + DIFENOCONAZOL 12,5% [SC] P/V"
25408,CABRIO DUO,BASF ESPAÑOLA S.L.U.,"DIMETOMORF 7,2% + PIRACLOSTROBIN 4% [EC] P/V"
25411,CASPER,"SYNGENTA ESPAÑA, S.A.",DICAMBA 50% (SAL SÓDICA) + PROSULFURON 5% [WG] P/P
25413,TECTO 500 SC,"SYNGENTA ESPAÑA, S.A.",TIABENDAZOL 50% [SC] P/V
25414,ALVERDE,BASF ESPAÑOLA S.L.U.,METAFLUMIZONA 24% [SC] P/V
25419,SCOMRID LIMB AEROSOL,CERTIS EUROPE B.V. Sucursal en España,IMAZALIL 2% [AE] P/P
25420,HERITAGE 50 WG,"SYNGENTA ESPAÑA, S.A.",AZOXISTROBIN 50% [WG] P/P
25421,SHERPA 100 EW,SBM DÉVELOPPEMENT SAS (Ecully),CIPERMETRIN 10% [EW] P/V
25423,ELUMIS,"SYNGENTA ESPAÑA, S.A.","NICOSULFURON 3% + MESOTRIONA 7,5% [OD] P/V"
25424,METRIC,"BELCHIM CROP PROTECTION ESPAÑA, S.A.","CLOMAZONA 6% + METRIBUZINA 23,3% [ZC] P/V"
